"id","title","author","link","journal_info","doi"
"1","Protorthacean brachiopods from the Middle Cambrian of Morocco","Gerd Geyer, Michal Mergl","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/protorthacean-brachiopods-from-the-middle-cambrian-of-morocco/6C2780E83A26CCB5BE23C6F8573EB30E","Journal of Paleontology, Volume 71, Issue 5","https://doi.org/10.1017/S0022336000035745"
"2","A new obolellid brachiopod from the Lower Cambrian of Morocco","Gerd Geyer","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/new-obolellid-brachiopod-from-the-lower-cambrian-of-morocco/A5A247C9127A2F7E2C4F48A7CAB5EFFA","Journal of Paleontology, Volume 68, Issue 5","https://doi.org/10.1017/S0022336000026603"
"3","Lingulate brachiopods from the Cambrian-Ordovician boundary beds of Utah","Leonid E. Popov, Lars E. Holmer, James F. Miller","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/lingulate-brachiopods-from-the-cambrianordovician-boundary-beds-of-utah/F1B3CEDABA1BB0CF22FD333F275F7E42","Journal of Paleontology, Volume 76, Issue 2","https://doi.org/10.1017/S0022336000041640"
"4","Reinterpretation of the lower Cambrian brachiopod Heliomedusa orienta Sun and Hou, 1987A as a discinid","Jun-Yuan Chen, Di-Ying Huang, Shou-Hwa Chuang","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/reinterpretation-of-the-lower-cambrian-brachiopod-heliomedusa-orienta-sun-and-hou-1987a-as-a-discinid/863F30DA3CB0ABBAB27C554C7A4DBD1E","Journal of Paleontology, Volume 81, Issue 1","https://doi.org/10.1666/0022-3360(2007)81[38:ROTLCB]2.0.CO;2"
"5","Lower and middle Cambrian rhynchonelliform brachiopods from the Precordillera terrane of Argentina","Juan L. Benedetto, Rodolfo D. Foglia","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/lower-and-middle-cambrian-rhynchonelliform-brachiopods-from-the-precordillera-terrane-of-argentina/76DDC26D09C61B54878B2D9727022AE7","Journal of Paleontology, Volume 86, Issue 2","https://doi.org/10.1666/10-115.1"
"6","A bradoriid and brachiopod dominated shelly fauna from the Furongian (Cambrian) of Västergötland, Sweden","Timothy P. Topper, Christian B. Skovsted, David A. T. Harper, Per Ahlberg","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/bradoriid-and-brachiopod-dominated-shelly-fauna-from-the-furongian-cambrian-of-vastergotland-sweden/75263BF92E554528676630F3D8CBDBA5","Journal of Paleontology, Volume 87, Issue 1","https://doi.org/10.1666/12-047R.1"
"7","The distribution and inferred larval dispersion of Rhondellina dorei: a new Cambrian brachiopod (Acrotretida)","A. J. Rowell","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/distribution-and-inferred-larval-dispersion-of-rhondellina-dorei-a-new-cambrian-brachiopod-acrotretida/ED4206053FEA42778F25376E0F8B5549","Journal of Paleontology, Volume 60, Issue 5","https://doi.org/10.1017/S0022336000022587"
"8","An obolellate brachiopod with soft-part preservation from the Early Cambrian Chengjiang fauna of China","Zhifei Zhang, Lars E. Holmer, Leonid Popov, Degan Shu","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/an-obolellate-brachiopod-with-softpart-preservation-from-the-early-cambrian-chengjiang-fauna-of-china/54BCFE9F7380A1D03DFDD692DE4B6007","Journal of Paleontology, Volume 85, Issue 3","https://doi.org/10.1666/10-121.1"
"9","Linguliform brachiopods from the terminal Cambrian and lowest Ordovician of the Oaxaquia microcontinent (Southern Mexico)","Michael Streng, Barbro B. Mellbin, Ed Landing, J. Duncan Keppie","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/linguliform-brachiopods-from-the-terminal-cambrian-and-lowest-ordovician-of-the-oaxaquia-microcontinent-southern-mexico/7B30F6872C4550C26127F777C4D623EE","Journal of Paleontology, Volume 85, Issue 1","https://doi.org/10.1666/10-074.1"
"10","Early Cambrian brachiopods and other shelly fossils from the basal Kinzers Formation of Pennsylvania","Christian B. Skovsted, John S. Peel","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/early-cambrian-brachiopods-and-other-shelly-fossils-from-the-basal-kinzers-formation-of-pennsylvania/028CA3DFC5C9CE0E52E5922E13074A91","Journal of Paleontology, Volume 84, Issue 4","https://doi.org/10.1017/S0022336000058467"
"11","Upper Cambrian and lowest Ordovician articulate brachiopods from the Arbuckle and Wichita Mountains, Oklahoma","Rebecca J. Freeman, James H. Stitt","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/upper-cambrian-and-lowest-ordovician-articulate-brachiopods-from-the-arbuckle-and-wichita-mountains-oklahoma/CC75D4A4CB61CBC9D091BC1D4619A9B4","Journal of Paleontology, Volume 70, Issue 3","https://doi.org/10.1017/S0022336000038300"
"12","Lingulate brachiopods from the Lampazar Formation (late Cambrian) of the Cordillera Oriental of northwestern Argentina","Michal Mergl, Zarela Herrera, Enrique Villas, Gladys Ortega","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/lingulate-brachiopods-from-the-lampazar-formation-late-cambrian-of-the-cordillera-oriental-of-northwestern-argentina/F59370390E30A9E8B87F0F92E085F4BC","Journal of Paleontology, Volume 89, Issue 4","https://doi.org/10.1017/jpa.2015.42"
"13","Middle to Upper Cambrian linguliformean brachiopods from the Deadwood Formation of subsurface Alberta and Saskatchewan, Canada","Sean P. Robson, Godfrey S. Nowlan, Brian R. Pratt","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/middle-to-upper-cambrian-linguliformean-brachiopods-from-the-deadwood-formation-of-subsurface-alberta-and-saskatchewan-canada/1F2C5FE30C2D573778978DD58F2E55AA","Journal of Paleontology, Volume 77, Issue 2","https://doi.org/10.1017/S0022336000043602"
"14","The attachment strategies of Cambrian kutorginate brachiopods: the curious case of two pedicle openings and their phylogenetic significance","Lars E. Holmer, Zhifei Zhang, Timothy P. Topper, Leonid Popov, Thomas M. Claybourn","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/attachment-strategies-of-cambrian-kutorginate-brachiopods-the-curious-case-of-two-pedicle-openings-and-their-phylogenetic-significance/B9A3AE4079468270837CA147FBEF53B9","Journal of Paleontology, Volume 92, Special Issue 1: Cambrian Explosion","https://doi.org/10.1017/jpa.2017.76"
"15","New data on the rare Chengjiang (Lower Cambrian, South China) linguloid brachiopod Xianshanella haikouensis ","Zhifei Zhang, Degan Shu, Jian Han, Jianni Liu","https://www.cambridge.org/core/journals/journal-of-paleontology/article/abs/new-data-on-the-rare-chengjiang-lower-cambrian-south-china-linguloid-brachiopod-xianshanella-haikouensis/6DCA17FCB483B0598AFAC6E92D558529","Journal of Paleontology, Volume 80, Issue 2","https://doi.org/10.1666/0022-3360(2006)080[0203:NDOTRC]2.0.CO;2"
"16","Early Cambrian (Stage 4) brachiopods from the Shipai Formation in the Three Gorges area of South China","Xiaolin Duan, Marissa J. Betts, Lars E. Holmer, Yanlong Chen, Fan Liu, Yue Liang, Zhifei Zhang, [Opens in a new window]","https://www.cambridge.org/core/journals/journal-of-paleontology/article/early-cambrian-stage-4-brachiopods-from-the-shipai-formation-in-the-three-gorges-area-of-south-china/1D5BB566B74AF77E7EBBCED92CDAA050","Journal of Paleontology, Volume 95, Issue 3","https://doi.org/10.1017/jpa.2020.117"
